original	corrected	source	cefr	context
hanlar 	handlar	SpIn69_4	B1	
ballet 	balett	SpIn69_4	B1	
leklion 	lektion	SpIn69_4	B1	
brukor 	brukar	SpIn69_4	B1	
medrasser	madrasser	SpIn69_4	B1	
steijkar 	strejkar	SpIn69_4	B1	
bibliotekare 	bibliotekarie	SpIn69_4	B1	
ungdomkort 	ungdomskort	SpIn69_4	B1	
alskar 	älskar	SpIn69_4	B1	
fortsäta 	fortsätta	SpIn69_4	B1	
fotten 	foten	SpIn69_2	A2	
krammade 	kramade	SpIn69_2	A2	
rödd 	röd	SpIn69_2	A2	
origt 	oroligt	SpIn69_2	A2	
budde 	bodde	SpIn69_2	A2	
berger	berg	SpIn69_2	A2	
programen 	programmen	SpIn69_2	A2	
spännade	spännande	SpIn69_2	A2	
jätt 	jätte	SpIn69_2	A2	
Estetika 	estetiska	SpIn70_1	A2	
födelsdag 	födelsedag	SpIn70_1	A2	
trojon 	tröjor	SpIn70_1	A2	
altid 	alltid	SpIn70_1	A2	
annolurund 	annorlunda	SpIn70_2	A2	
expel	exempel	SpIn70_2	A2	
zooo	zoo	SpIn70_2	A2	
moromor 	mormor	SpIn70_2	A2	
danse 	dansa	SpIn70_2	A2	
papa 	pappa	SpIn70_2	A2	
tjer 	tjejer	SpIn70_2	A2	
följar 	följer	SpIn70_2	A2	
darför 	därför	SpIn70_2	A2	
upvuxen 	uppvuxen	SpIn70_3	A2	
länger	länder	SpIn70_3	A2	
liger	ligger	SpIn35_1	A1	
monikor	människor	SpIn35_1	A1	
åckså	också	SpIn35_1	A1	
borjer	börjar	SpIn35_1	A1	
tva	två	SpIn35_1	A1	
siskon	syskon	SpIn35_1	A1	
sisterar	systrar	SpIn35_1	A1	
boroder	bröder	SpIn35_1	A1	
isnela	snäll	SpIn35_1	A1	
läga	laga	SpIn35_1	A1	
Futball	fotboll	SpIn35_1	A1	
bovomennera	promenera	SpIn35_1	A1	
sveria	sverige	SpIn35_1	A1	
åstid	årstid	SpIn35_1	A1	
vinten	vinter	SpIn35_1	A1	
ratserna	rasterna	SpIn10_1	A1	
